"","...1","player","weighted_mp","weighted_ws","weighted_per","team.x","contract_y","age","per_minute_score","rank_within_team","protected","pos","actual","xgb_pred","residual","ufa","suspended"
"140",140,"mackenzie holmes",19,0.1,15,"SEA",0,24,0.110767663238095,7,0,"F","$48,865","$51,798","$2,933.34","0",0
"141",141,"erica wheeler",1273.25,1.75,12.1875,"SEA",0,34,-0.242257671623051,8,0,"G","$78,831","$80,483","$1,652.09","1",0
"142",142,"lexie brown",466.25,0.05,6.25,"SEA",1,30,-0.371845198752867,9,0,"G","$96,408","$90,596","-$5,812.18","0",0
"143",143,"tiffany mitchell",1408,0.3,7.9,"SEA",0,30,-0.387283835256712,10,0,"G","$101,123","$89,410","-$11,712.84","1",0
"144",144,"zia cooke",547,-1.3,4.375,"SEA",0,24,-0.440104319328257,11,0,"G","$66,079","$64,142","-$1,936.60","0",0
"145",145,"nika muhl",57,-0.2,-3.2,"SEA",2,24,-0.472740029247057,12,0,NA,NA,NA,NA,"0",1
"146",146,"alysha clark",1350,2.6,8.45,"SEA",0,38,-0.479866095261845,13,0,"F","$185,000","$169,831","-$15,168.98","1",0
"147",147,"sonia citron",737,2.3,14.8,"WAS",3,21,0.831868541976769,1,1,"G","$78,831","$77,394","-$1,436.88","0",0
"148",148,"kiki iriafen",588,1.7,15.8,"WAS",3,21,0.764091277957833,2,1,"F","$78,831","$76,311","-$2,519.80","0",0
"149",149,"shakira austin",361.4,0.75,18.99,"WAS",0,24,0.435038191686944,3,1,"C-F","$91,981","$119,258","$27,277.29","0",0
"150",150,"aaliyah edwards",419.666666666667,0.866666666666667,14.4666666666667,"WAS",2,23,0.264353911603894,4,1,"F","$74,909","$83,019","$8,110.06","0",0
"151",151,"lucy olsen",199,0.6,12,"WAS",3,22,0.102430474792709,5,1,"G","$69,267","$75,604","$6,337.41","0",0
"152",152,"brittney sykes",614.5,1.26,15.57,"WAS",0,31,-0.0769570972936081,6,0,"G","$195,000","$231,003","$36,002.83","1",0
"153",153,"emily engstler",373,0.966666666666667,12.8666666666667,"WAS",0,25,-0.0890504130186805,7,0,"F","$66,079","$83,961","$17,882.00","0",0
"154",154,"sika kone",307.666666666667,0.7,11.6666666666667,"WAS",0,22,-0.112837989444942,8,0,"F","$66,710","$71,453","$4,742.96","1",0
"155",155,"stefanie dolson",848,1.6,9.21666666666667,"WAS",0,33,-0.638809731276726,9,0,"C","$170,000","$200,898","$30,898.39","1",0
"156",156,"jade melbourne",804.666666666667,0,6.95,"WAS",0,22,-0.701383675601985,10,0,"G","$66,710","$71,453","$4,742.96","1",0
"157",157,"sug sutton",1525.33333333333,-0.466666666666667,9.73333333333333,"WAS",0,26,-0.778743491382206,11,0,"G","$78,831","$89,522","$10,691.03","0",0
"158",158,"chloe bibby",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$49,420","$64,296","$14,875.66",NA,NA
"159",159,"grace berger",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$1,666","$9,781","$8,114.57",NA,NA
"160",160,"haley jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-G","$36,233","$42,996","$6,762.62",NA,NA
"161",161,"alexis prince",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$3,975","$8,387","$4,412.27",NA,NA
"162",162,"robyn parks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$11,106","$14,496","$3,389.75",NA,NA
"163",163,"bree hall",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$47,755","$50,514","$2,758.79",NA,NA
"164",164,"sevgi uzun",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$11,106","$12,797","$1,690.83",NA,NA
"165",165,"kyara linskens",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","$14,437","$14,496","$58.75",NA,NA
"166",166,"shey peddy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$44,715","$44,402","-$313.05",NA,NA
"167",167,"kaila charles",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-F","$43,225","$42,598","-$627.11",NA,NA
"168",168,"crystal bradford",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$16,103","$13,987","-$2,116.14",NA,NA
"169",169,"liatu king",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$47,894","$44,773","-$3,120.75",NA,NA
"170",170,"marieme badiane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","$12,216","$8,759","-$3,457.48",NA,NA
"171",171,"elizabeth kitley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","$69,267","$65,729","-$3,537.89",NA,NA
"172",172,"megan mcconnell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$56,084","$50,906","-$5,177.67",NA,NA
"173",173,"murjanatu musa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","$66,079","$59,383","-$6,695.70",NA,NA
"174",174,"kiana williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$66,079","$58,204","-$7,874.79",NA,NA
"175",175,"joyner holmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","$61,607","$48,877","-$12,729.76",NA,NA
"176",176,"odyssey sims",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","$130,000","$116,369","-$13,631.38",NA,NA
